From	To
2017-08-16 10:00:00	2017-08-16 12:20:00
2017-08-24 16:40:00	2017-08-24 18:40:00
2017-09-17 06:30:00	2017-09-17 07:40:00
2017-09-20 11:20:00	2017-09-20 18:00:00
2017-09-28 14:10:00	2017-09-28 18:10:00
2017-09-28 18:50:00	2017-09-28 20:40:00
2017-09-30 23:10:00	2017-10-01 00:40:00
2017-10-24 00:40:00	2017-10-24 01:40:00
2017-11-14 00:40:00	2017-11-14 01:20:00
2017-11-14 04:10:00	2017-11-14 04:50:00
2017-11-14 11:40:00	2017-11-14 12:20:00
2017-11-15 12:20:00	2017-11-15 13:40:00
2017-12-11 16:00:00	2017-12-15 16:30:00
2017-12-19 10:50:00	2017-12-19 17:10:00
2017-12-19 19:00:00	2017-12-20 03:00:00
2017-12-29 13:10:00	2017-12-29 14:30:00
2018-01-02 09:10:00	2018-01-02 12:00:00
2018-01-02 15:20:00	2018-01-02 16:30:00
2018-01-23 13:20:00	2018-01-23 14:00:00
2018-01-29 03:10:00	2018-01-29 10:50:00
2018-01-30 15:50:00	2018-01-30 18:00:00
2018-01-31 13:20:00	2018-01-31 14:00:00
2018-02-01 17:40:00	2018-02-01 19:50:00
2018-02-01 22:40:00	2018-02-02 02:20:00
2018-03-11 16:00:00	2018-03-12 09:00:00
2018-03-21 04:20:00	2018-03-21 05:20:00
2018-03-21 06:40:00	2018-03-21 07:20:00
2018-03-21 14:30:00	2018-03-21 15:10:00
2018-03-22 14:00:00	2018-03-22 14:40:00
2018-03-25 01:10:00	2018-03-25 01:50:00
2018-03-25 07:20:00	2018-03-25 08:50:00
2018-03-31 20:50:00	2018-03-31 21:30:00
2018-04-01 00:40:00	2018-04-01 01:40:00
2018-04-03 05:50:00	2018-04-03 10:10:00
2018-04-03 11:10:00	2018-04-03 11:50:00
2018-04-03 15:20:00	2018-04-03 16:00:00
2018-04-03 18:00:00	2018-04-03 19:40:00
2018-04-03 20:00:00	2018-04-03 22:50:00
2018-04-04 07:20:00	2018-04-04 15:10:00
2018-04-04 16:40:00	2018-04-04 17:20:00
2018-04-04 18:00:00	2018-04-04 21:30:00
2018-04-04 21:50:00	2018-04-05 06:20:00
2018-04-05 07:00:00	2018-04-05 07:50:00
2018-04-05 08:30:00	2018-04-05 17:50:00
2018-04-06 01:00:00	2018-04-06 07:30:00
2018-04-06 09:20:00	2018-04-06 10:50:00
2018-04-07 18:20:00	2018-04-07 20:40:00
2018-04-07 22:40:00	2018-04-08 01:30:00
2018-04-08 18:10:00	2018-04-08 19:00:00
2018-04-09 02:50:00	2018-04-09 03:30:00
2018-04-12 13:50:00	2018-04-16 13:30:00
2018-05-17 07:20:00	2018-05-17 08:20:00
2018-05-24 18:40:00	2018-05-24 19:20:00
2018-07-10 08:10:00	2018-07-10 08:10:00
2018-08-06 11:30:00	2018-08-06 17:50:00
2018-08-07 11:50:00	2018-08-08 10:10:00
2018-08-10 00:20:00	2018-08-10 00:30:00
2018-08-28 19:30:00	2018-08-29 08:50:00
2018-09-05 18:30:00	2018-09-07 09:00:00
2018-10-07 23:40:00	2018-10-08 03:10:00
2018-11-05 02:40:00	2018-11-05 03:20:00
2018-11-09 00:20:00	2018-11-09 03:30:00
2018-11-10 11:00:00	2018-11-10 17:40:00
2018-11-10 21:40:00	2018-11-11 02:00:00
2018-11-11 03:00:00	2018-11-12 08:20:00
2018-11-26 00:50:00	2018-11-26 01:40:00
2019-04-04 18:40:00	2019-04-05 11:00:00
2019-05-06 04:10:00	2019-05-06 04:50:00
2019-05-20 00:50:00	2019-05-20 01:50:00
2019-06-26 04:40:00	2019-06-26 10:30:00
2019-06-29 23:40:00	2019-06-30 05:20:00
2019-07-07 01:30:00	2019-07-08 02:00:00
2019-07-09 01:30:00	2019-07-10 02:00:00
2019-07-12 01:30:00	2019-07-14 02:00:00
2019-07-14 11:50:00	2019-07-14 17:20:00
2019-07-15 01:30:00	2019-07-16 02:00:00
2019-07-16 09:40:00	2019-07-16 11:00:00
2019-07-16 11:30:00	2019-07-16 14:20:00
2019-07-17 01:30:00	2019-08-01 12:10:00
2019-08-12 08:10:00	2019-08-12 09:30:00
2019-09-03 15:20:00	2019-09-03 17:30:00
2019-09-13 03:40:00	2019-09-13 08:30:00
2019-09-17 09:20:00	2019-09-17 10:20:00
2019-09-29 08:50:00	2019-09-29 09:40:00
2019-10-06 09:40:00	2019-10-06 10:20:00
2019-10-11 21:40:00	2019-10-11 22:50:00
2019-10-20 08:40:00	2019-10-20 09:20:00
2019-10-30 16:20:00	2019-10-30 19:20:00
2019-11-17 10:40:00	2019-11-17 11:20:00
2019-12-20 13:40:00	2019-12-20 15:00:00
2019-12-28 11:20:00	2019-12-28 12:00:00
